episode,T_pre,T_post,phi_z_pre,phi_z_post,phi_g_pre,phi_g_post,phi_j_pre,phi_j_post,d_pre,d_post
0,119,121,0.007123666360803013,0.034230717204232146,2.5612039571742162,1.4006481360685505,2.9106239583970157,1.3668617458276828,0.3494200012227995,-0.033786390240867714
1,119,121,0.05540612265535927,0.020875584081153777,1.1846287069838057,1.14652732732698,0.7438987970673215,0.6144960737056803,-0.4407299099164842,-0.5320312536212998
2,119,121,0.16675995475344968,0.043201414752107314,1.1105129450244107,1.5204230168889858,1.6733736322999029,1.5906860619612884,0.5628606872754922,0.07026304507230252
3,119,121,0.03433776189737778,0.01713271532016088,3.736441135946775,1.0845438013096662,2.9139805170777997,0.6869055717829526,-0.8224606188689751,-0.39763822952671357
4,119,121,0.2770744035402022,0.004434488876865678,3.657518215475036,0.9195546584980674,2.428514727524701,0.4187782741389305,-1.2290034879503349,-0.5007763843591369
5,119,121,0.07301141158754867,0.016603170031982167,2.4708514408002396,1.1671079235595256,2.6002871363391478,1.040932813339499,0.1294356955389082,-0.1261751102200266
6,119,121,0.1380854502853231,0.028092470434054752,2.907217777167177,1.191314124596464,2.0113189359315196,1.4980079170529113,-0.8958988412356574,0.30669379245644723
7,119,121,0.031851238925564206,0.026108420379302513,3.5650293161011684,0.7805356045117913,2.6267669530294846,0.4978175153761936,-0.9382623630716838,-0.28271808913559765
8,119,121,0.04914504015092425,0.029570993328526987,4.339692531271364,1.6882483890361306,3.556516374679877,0.66252386368491,-0.783176156591487,-1.0257245253512206
9,119,121,0.014514229417435368,0.05582345015815089,1.9755656490077755,1.1512325646872255,1.7598962113802208,0.507001021509677,-0.21566943762755475,-0.6442315431775485
