t,x,y,zone_id,action,perturbed,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,s_0,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,g_0,g_1,g_2,g_3,g_4,g_5,g_6,g_7,g_8,g_9,g_10,g_11
1,7,4,1,4,0,0.16149374842643738,-0.1358010619878769,0.052332282066345215,-0.007228225469589233,0.35158228874206543,0.09073202311992645,-0.12528331577777863,-0.05243906378746033,0.021564992144703865,0.6633087396621704,-1.5501322746276855,-0.764261782169342,-0.8147117495536804,0.34181147813796997,-0.7906656861305237,1.2897745370864868,1.0533099174499512,-1.009790062904358,2.418069839477539,0.4804891049861908,-0.4492584764957428,-0.4767571985721588,0.41451317071914673,-0.8272648453712463,-0.11826839298009872,-0.011759641580283642,0.01509139221161604,-0.00441093510016799,-0.06635158509016037,0.08944946527481079,-0.043221890926361084,-0.07063497602939606,0.052363067865371704,0.09372671693563461,0.14131365716457367,-0.04273353889584541
2,7,4,1,4,0,0.4362873136997223,-0.2761005759239197,0.15550459921360016,-0.13922923803329468,0.5011653900146484,0.10595040023326874,-0.3056437075138092,-0.17006966471672058,0.12037260085344315,0.8092928528785706,-1.6199442148208618,-0.7333827614784241,-0.6411759853363037,0.2689759433269501,-0.7800862193107605,1.243409514427185,1.0361127853393555,-1.0695987939834595,2.3654308319091797,0.39555445313453674,-0.466054230928421,-0.7220965623855591,0.5253973007202148,-0.7322077751159668,-0.22206927835941315,-0.023463666439056396,0.027764424681663513,-0.0072987256571650505,-0.11949169635772705,0.17074698209762573,-0.08551877737045288,-0.13963750004768372,0.10213030874729156,0.172535240650177,0.2706729769706726,-0.07942140847444534
3,7,4,1,4,0,0.034021034836769104,-0.21214380860328674,0.07423081248998642,-0.13180378079414368,0.3231510519981384,0.16248667240142822,-0.15791942179203033,-0.1537458747625351,0.10981068015098572,0.759834349155426,-1.6147170066833496,-0.5056253671646118,-0.7338025569915771,0.21883051097393036,-0.8400403261184692,1.2131950855255127,1.0661321878433228,-0.9366484880447388,2.417752742767334,0.38086554408073425,-0.5096107125282288,-0.8229522109031677,0.5350123047828674,-0.7380367517471313,-0.3063908517360687,-0.03489243984222412,0.028941838070750237,-0.008056862279772758,-0.1659649759531021,0.24268758296966553,-0.12454255670309067,-0.20378518104553223,0.1541489213705063,0.24516893923282623,0.3861716687679291,-0.11537304520606995
4,7,4,1,4,0,0.4887823760509491,-0.1843923032283783,0.01745200902223587,-0.056631214916706085,0.21256022155284882,-0.10673422366380692,-0.12953174114227295,-0.00655074417591095,0.24766996502876282,0.660888671875,-1.496263027191162,-0.5828440189361572,-0.7238527536392212,0.4647987186908722,-0.9205483794212341,1.3783693313598633,1.049216628074646,-0.9747173190116882,2.3845269680023193,0.17947326600551605,-0.7988911867141724,-0.2822164297103882,0.32636094093322754,-0.9119716286659241,-0.3919264078140259,-0.045561157166957855,0.043575219810009,-0.011828459799289703,-0.21315701305866241,0.3057469129562378,-0.15646246075630188,-0.25053703784942627,0.19796566665172577,0.31543850898742676,0.4837190508842468,-0.15366342663764954
5,7,4,1,4,0,0.23073768615722656,-0.3749765455722809,0.08850805461406708,0.06896190345287323,0.21359366178512573,0.011038772761821747,-0.14711305499076843,-0.06625598669052124,0.38841167092323303,0.7447142004966736,-1.4730827808380127,-0.4776999354362488,-0.6765551567077637,0.34338659048080444,-1.0744744539260864,1.3112249374389648,0.9606339335441589,-1.0680091381072998,2.3891143798828125,0.2947867810726166,-0.77188640832901,-0.5359431505203247,0.3847566246986389,-0.7393781542778015,-0.466167151927948,-0.05573594942688942,0.06491005420684814,-0.013721476309001446,-0.2547059655189514,0.36179596185684204,-0.18594390153884888,-0.30002647638320923,0.23967285454273224,0.3729633688926697,0.5695401430130005,-0.18783661723136902
6,7,4,1,4,0,0.26824474334716797,-0.19841410219669342,0.03441029042005539,-0.2385246455669403,0.3550848960876465,0.225643128156662,-0.1719231903553009,-0.091120645403862,0.44651827216148376,0.7849423885345459,-1.4755370616912842,-0.5793980360031128,-0.5543655753135681,0.3794679045677185,-1.0924328565597534,1.241787314414978,1.0175981521606445,-1.1126705408096313,2.345780611038208,0.2929406762123108,-0.7259525656700134,-0.5970695614814758,0.3887167274951935,-0.7603254914283752,-0.5330651998519897,-0.06575220823287964,0.08626306056976318,-0.015408437699079514,-0.2887601852416992,0.41211816668510437,-0.2151639759540558,-0.3457196056842804,0.27805978059768677,0.42332667112350464,0.6461818814277649,-0.21746863424777985
7,7,4,1,4,0,0.21216021478176117,-0.11419212818145752,0.07531043887138367,-0.23802083730697632,0.3254927694797516,0.03605589270591736,-0.22688931226730347,-0.21473939716815948,0.13997909426689148,0.677828848361969,-1.6022577285766602,-0.41791629791259766,-0.6841577887535095,0.18263505399227142,-0.7372183799743652,1.2211841344833374,1.1866042613983154,-0.8131875991821289,2.408998966217041,0.17331668734550476,-0.6348376870155334,-0.9108719229698181,0.6390239596366882,-0.829123318195343,-0.5805412530899048,-0.07546290755271912,0.06400618702173233,-0.01415977906435728,-0.3123449981212616,0.460161030292511,-0.24183864891529083,-0.3870985805988312,0.32160693407058716,0.4748276472091675,0.7201210856437683,-0.24104046821594238
8,7,4,1,4,0,0.47756874561309814,-0.2595469355583191,-0.11860304325819016,-0.12405052781105042,0.3738805055618286,-0.06535402685403824,-0.13806316256523132,0.026669204235076904,0.504211962223053,0.6475683450698853,-1.3962801694869995,-0.7232685685157776,-0.5660657286643982,0.5186138153076172,-1.0706381797790527,1.3339731693267822,1.0735654830932617,-1.08025324344635,2.2991673946380615,0.15949097275733948,-0.8362634181976318,-0.32067838311195374,0.33998793363571167,-0.8831313848495483,-0.6384063363075256,-0.08512195199728012,0.08555999398231506,-0.018134398385882378,-0.34142038226127625,0.5007151365280151,-0.264358788728714,-0.41794899106025696,0.35326483845710754,0.5190683007240295,0.7781977653503418,-0.26780974864959717
9,7,4,1,4,0,0.3283161520957947,0.005688324570655823,0.1562383621931076,0.055006831884384155,0.3631766438484192,0.09641644358634949,-0.07566123455762863,-0.008153319358825684,0.380569189786911,0.37897130846977234,-1.2894729375839233,-0.8396320939064026,-0.5954369902610779,0.5844154357910156,-0.925274133682251,1.4159947633743286,1.1561952829360962,-0.9692476987838745,2.3396570682525635,0.042340151965618134,-0.9041786789894104,0.025914112105965614,0.26520445942878723,-1.0660192966461182,-0.6919189095497131,-0.09441962838172913,0.09214480966329575,-0.02511143684387207,-0.37105321884155273,0.5377987027168274,-0.28194496035575867,-0.43096107244491577,0.38381415605545044,0.5648850202560425,0.8316839933395386,-0.2960955500602722
10,7,4,1,4,0,0.40470564365386963,-0.3138572573661804,0.031211234629154205,0.0025643333792686462,0.12084022164344788,0.2631334066390991,-0.31674647331237793,-0.10703945904970169,0.7765492796897888,0.705047070980072,-1.2366899251937866,-0.48481056094169617,-0.4629271626472473,0.4976535439491272,-1.4250785112380981,1.1916593313217163,0.8553829789161682,-1.2677570581436157,2.3111062049865723,0.3191225528717041,-0.9333630204200745,-0.41651174426078796,0.1691729724407196,-0.5985559225082397,-0.7363764047622681,-0.1033034697175026,0.13424843549728394,-0.027470052242279053,-0.3990473449230194,0.5678277611732483,-0.29943153262138367,-0.46274134516716003,0.4069615304470062,0.5941432118415833,0.8710763454437256,-0.318543404340744
