t,x,y,zone_id,action,perturbed,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,s_0,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,g_0,g_1,g_2,g_3,g_4,g_5,g_6,g_7,g_8,g_9,g_10,g_11
1,7,4,1,4,0,-0.03889995813369751,-0.07618601620197296,-0.02955036610364914,0.14533820748329163,0.4535362422466278,0.1450953185558319,-0.009192109107971191,0.04670262336730957,-0.1941765397787094,0.08146830648183823,-1.0537834167480469,-0.1934983730316162,-1.5186227560043335,0.7922351360321045,1.3240821361541748,1.354252815246582,1.2580405473709106,-0.6661937832832336,1.0365350246429443,-1.236950159072876,-1.0944854021072388,1.159876823425293,-0.001760741462931037,-1.047019124031067,-0.09444840252399445,0.01088290847837925,0.01381597388535738,-0.006130148656666279,-0.09935759752988815,-0.004957312252372503,0.0670548602938652,-0.07363834232091904,0.06176994368433952,0.15957686305046082,-0.0208396315574646,-0.0009416170651093125
2,6,4,1,2,0,0.7854807376861572,-0.4970845580101013,0.2799665927886963,-0.2506648302078247,0.902285635471344,0.19075044989585876,-0.5502732992172241,-0.3061891496181488,0.29823222756385803,0.683205246925354,-0.592519998550415,-1.0029247999191284,-1.2037352323532104,0.46668699383735657,0.7547782063484192,1.6675457954406738,1.0328377485275269,-1.9158605337142944,0.8071380257606506,-0.5897629857063293,-0.9402451515197754,0.8688259124755859,0.7350686192512512,-1.0692702531814575,-0.20096640288829803,0.020563509315252304,0.034214384853839874,0.005063890479505062,-0.2080935835838318,0.0008409684523940086,0.125545471906662,-0.1288684606552124,0.09519258141517639,0.29073238372802734,-0.023599956184625626,0.004773544147610664
3,5,4,1,2,0,-0.42131808400154114,-0.3052142858505249,0.03614523634314537,-0.2283884435892105,0.3682425320148468,0.3603592813014984,-0.10710038989782333,-0.2572178244590759,0.6177201867103577,1.081268310546875,-0.5208519697189331,-0.32422828674316406,-1.5028705596923828,0.22581207752227783,0.5344873666763306,1.7837188243865967,0.6713743209838867,-1.842603325843811,1.0480214357376099,-0.7479900121688843,-1.2819076776504517,0.4637295603752136,0.5672759413719177,-0.7729556560516357,-0.28573936223983765,0.028013065457344055,0.04548029601573944,0.038342274725437164,-0.30070412158966064,0.006525901611894369,0.18063059449195862,-0.194947749376297,0.1207311600446701,0.4066828489303589,-0.03528178855776787,0.009658267721533775
4,4,4,0,2,0,0.9429659843444824,-0.22195973992347717,-0.13419118523597717,-0.0028707608580589294,0.03647005558013916,-0.44730344414711,-0.021937355399131775,0.1843675822019577,-1.0218137502670288,-1.2205926179885864,-0.9314171671867371,0.4781833589076996,-1.0776658058166504,0.38307496905326843,1.8385764360427856,0.6156566143035889,1.0570520162582397,1.2527012825012207,0.5236794948577881,-1.6644072532653809,-0.40871694684028625,1.0172338485717773,-0.35799723863601685,-0.4835469722747803,-0.26656264066696167,0.014847789891064167,0.024045804515480995,-0.012935459613800049,-0.29383406043052673,-0.01635117456316948,0.22744737565517426,-0.23740534484386444,0.21249781548976898,0.5351028442382812,-0.08807090669870377,-0.03324234485626221
5,4,4,0,4,0,-0.3171030282974243,-0.014953196048736572,-0.12563009560108185,0.30587512254714966,0.10995224118232727,0.05557021498680115,0.19284497201442719,0.16710206866264343,-1.0998353958129883,-1.1866481304168701,-0.7760322093963623,0.8008121252059937,-1.1065236330032349,0.10496079176664352,2.0102550983428955,0.3763160705566406,0.9071211814880371,1.3555978536605835,0.8178653120994568,-1.57547926902771,-0.4847254157066345,0.6067739725112915,-0.4636909067630768,-0.2867676019668579,-0.24683800339698792,0.0006877891719341278,0.012064330279827118,-0.008144036866724491,-0.310617059469223,-0.02790338546037674,0.267316997051239,-0.3091709613800049,0.27719423174858093,0.6468135714530945,-0.14318764209747314,-0.05938205495476723
6,4,4,0,4,0,-0.2983494997024536,0.07332802563905716,-0.1526789665222168,0.1521318554878235,0.18069785833358765,0.16287238895893097,0.18043990433216095,0.15466974675655365,-0.8730397820472717,-0.8737845420837402,-0.7654616832733154,0.4552541971206665,-1.4184008836746216,0.13516418635845184,2.0447745323181152,0.7402179837226868,1.1602435111999512,0.6889984607696533,1.0981601476669312,-1.644924283027649,-0.8134387135505676,0.5737078189849854,-0.08666497468948364,-0.42080599069595337,-0.2468707412481308,0.0019811333622783422,0.009421857073903084,0.006048889365047216,-0.36596783995628357,-0.03309532254934311,0.30432823300361633,-0.3761630952358246,0.32735732197761536,0.7378772497177124,-0.18266770243644714,-0.06799765676259995
7,3,4,0,2,0,-0.3263917863368988,0.11543901264667511,-0.13222889602184296,0.15238375961780548,0.1659017950296402,0.06807877123355865,0.15295684337615967,0.09286037087440491,-0.9917270541191101,-1.1010133028030396,-0.7121648788452148,0.5790280103683472,-1.2571226358413696,0.08409840613603592,2.0827476978302,0.5625780820846558,1.069494605064392,1.0187582969665527,0.9354748129844666,-1.678706169128418,-0.6152330636978149,0.5566757321357727,-0.22244131565093994,-0.31044700741767883,-0.23044534027576447,-0.001223679049871862,0.0021875668317079544,0.01302581187337637,-0.40231117606163025,-0.040301643311977386,0.33670857548713684,-0.4377014636993408,0.3776671886444092,0.8220774531364441,-0.22383534908294678,-0.08188813924789429
8,4,4,0,3,0,-0.1936875283718109,0.042761605232954025,-0.22918564081192017,0.20936891436576843,0.1900956630706787,0.017373815178871155,0.19736991822719574,0.2135646641254425,-0.9616811871528625,-1.2700434923171997,-0.724086344242096,0.4299853444099426,-1.2293407917022705,0.2693690359592438,1.9872751235961914,0.5275084972381592,1.1545281410217285,1.1747870445251465,0.669380784034729,-1.709949016571045,-0.40371131896972656,0.7027419805526733,-0.2912881374359131,-0.3254753649234772,-0.2079426795244217,-0.005231083370745182,-0.007755829021334648,-0.005028224550187588,-0.41624072194099426,-0.05141298472881317,0.3677176535129547,-0.4866827726364136,0.43259984254837036,0.9011195302009583,-0.2613929212093353,-0.10246877372264862
9,5,4,1,3,0,-0.26831382513046265,0.17537924647331238,-0.09176494181156158,0.2988975942134857,0.184743732213974,0.09825904667377472,0.2285708785057068,0.1961534023284912,-1.0317026376724243,-1.3428866863250732,-0.672069251537323,0.6010328531265259,-1.133141279220581,0.2296595573425293,1.9503616094589233,0.41446617245674133,1.0460240840911865,1.3782106637954712,0.6316648125648499,-1.6909314393997192,-0.35277536511421204,0.6289344429969788,-0.40466904640197754,-0.2521788775920868,-0.18509362637996674,-0.014366691932082176,-0.019662924110889435,-0.015994856134057045,-0.4191253185272217,-0.06168404966592789,0.3946886658668518,-0.5312448740005493,0.4840937852859497,0.9718982577323914,-0.2962382435798645,-0.12563292682170868
10,6,4,1,3,0,0.6907356977462769,-0.6103545427322388,-0.09291350096464157,0.17471587657928467,-0.23868989944458008,0.6622994542121887,-0.5835815668106079,-0.11709855496883392,0.6900719404220581,1.0735713243484497,-0.16002337634563446,0.02413153275847435,-1.6797339916229248,0.05299321562051773,0.6836378574371338,1.7570724487304688,0.5936310887336731,-1.7548688650131226,1.2038226127624512,-1.104345440864563,-1.2535629272460938,0.05004221200942993,0.27162033319473267,-0.44805943965911865,-0.24751777946949005,-0.00779330637305975,-0.011344045400619507,0.024447288364171982,-0.47629258036613464,-0.05364126339554787,0.4231359362602234,-0.5676772594451904,0.4961942732334137,1.0165398120880127,-0.3006727695465088,-0.11900006234645844
