t,t_global,regime,switch,a,pi_max,entropy,margin,zone_id,x,y,g_0,g_1,g_2,g_3,g_4,g_5,g_6,g_7,g_8,g_9,g_10,g_11
1,0,0,0,1,0.43156754970550537,1.2803090810775757,0.14157727360725403,1,7,5,-0.09444840252399445,0.01088290847837925,0.01381597388535738,-0.006130148656666279,-0.09935759752988815,-0.004957312252372503,0.0670548602938652,-0.07363834232091904,0.06176994368433952,0.15957686305046082,-0.0208396315574646,-0.0009416170651093125
2,1,0,0,1,0.3959939479827881,1.3260424137115479,0.0880783200263977,1,7,6,-0.2009914368391037,0.020559649914503098,0.03425559028983116,0.0051167625933885574,-0.20813485980033875,0.0008845692500472069,0.12544357776641846,-0.12882497906684875,0.09520921111106873,0.2907305359840393,-0.023616665974259377,0.004760473035275936
3,2,0,0,1,0.3968215584754944,1.3446654081344604,0.09603571891784668,1,7,7,-0.285650372505188,0.027875959873199463,0.0455024428665638,0.03881851211190224,-0.30072012543678284,0.006537484470754862,0.18031224608421326,-0.19522389769554138,0.1210857480764389,0.40648406744003296,-0.03520403802394867,0.009545297361910343
4,3,0,0,4,0.28866103291511536,1.5389958620071411,0.006474018096923828,1,7,7,-0.26716148853302,0.01487769652158022,0.0241920817643404,-0.012155301868915558,-0.29390522837638855,-0.016294555738568306,0.2268931269645691,-0.23793910443782806,0.21324476599693298,0.5347608327865601,-0.08764912933111191,-0.03352104127407074
5,4,0,0,3,0.46735432744026184,1.3925424814224243,0.26271939277648926,1,8,7,-0.24816738069057465,0.004475626163184643,0.015540620312094688,0.013231003656983376,-0.3252473473548889,-0.027295947074890137,0.2638578414916992,-0.3163380026817322,0.26739832758903503,0.6426985263824463,-0.14444470405578613,-0.051797471940517426
6,5,0,0,2,0.30252137780189514,1.5042126178741455,0.01363036036491394,1,7,7,-0.3273620307445526,0.01230431254953146,0.03236059844493866,0.032795969396829605,-0.4017278552055359,-0.021169498562812805,0.3039112687110901,-0.3602188229560852,0.2927877902984619,0.7228838205337524,-0.14829102158546448,-0.0465986542403698
7,6,0,0,2,0.29205235838890076,1.5260015726089478,0.009695351123809814,1,6,7,-0.3950095772743225,0.01936524733901024,0.04570867121219635,0.05558140575885773,-0.46856895089149475,-0.015352815389633179,0.34140127897262573,-0.40435031056404114,0.3148490786552429,0.7934640645980835,-0.15505468845367432,-0.04209010675549507
8,7,0,0,2,0.3305520713329315,1.4260598421096802,0.01640772819519043,1,5,7,-0.45665091276168823,0.027451470494270325,0.07333368062973022,0.015092238783836365,-0.5193033814430237,-0.010764694772660732,0.3668960630893707,-0.43036365509033203,0.35912764072418213,0.8610621690750122,-0.15571166574954987,-0.04245426505804062
9,8,0,0,3,0.4056437015533447,1.4699786901474,0.205049067735672,1,6,7,-0.43579262495040894,0.030977502465248108,0.06046842038631439,-0.047200556844472885,-0.500729501247406,-0.03622610867023468,0.39748990535736084,-0.4530894458293915,0.4265187382698059,0.9384536743164062,-0.18827959895133972,-0.07531404495239258
10,9,0,0,2,0.2429410070180893,1.575981616973877,0.008302748203277588,1,5,7,-0.4813489317893982,0.035770829766988754,0.06636950373649597,-0.006227884441614151,-0.552909791469574,-0.029950466006994247,0.42591869831085205,-0.496909499168396,0.4391475021839142,0.9842703342437744,-0.19875620305538177,-0.07059560716152191
