t,x,y,zone_id,action,perturbed,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,s_0,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,g_0,g_1,g_2,g_3,g_4,g_5,g_6,g_7,g_8,g_9,g_10,g_11
1,7,4,1,4,0,-0.1891951560974121,-0.031474754214286804,-0.09096232801675797,0.2597630023956299,0.5300016403198242,0.1858677864074707,0.0778762698173523,0.1210588663816452,-1.7226899862289429,-0.20309744775295258,-0.17635853588581085,0.18410158157348633,-0.543018639087677,0.47925156354904175,2.170663595199585,0.2538965046405792,0.589730978012085,-1.7257839441299438,0.9624728560447693,-0.9818769097328186,-0.7315525412559509,1.3630008697509766,0.08324869722127914,-0.001989500131458044,-0.004298738669604063,0.0020522773265838623,-0.024341203272342682,0.010155887342989445,-0.07652750611305237,0.03677034378051758,-0.0026245147455483675,0.02247467450797558,-0.019165460020303726,0.055624764412641525,-0.008705914951860905,-0.0031524430960416794
2,7,3,1,0,0,-0.2355233132839203,0.11443084478378296,-0.15745645761489868,0.8190089464187622,0.4914053678512573,-0.4868660867214203,-0.48959773778915405,-1.1265227794647217,-1.0054607391357422,-0.5447462201118469,0.4215053617954254,-0.42304760217666626,-1.8480175733566284,0.3816573917865753,0.3075513243675232,1.2370939254760742,0.970767080783844,-2.1692190170288086,1.0134092569351196,0.3871576189994812,-0.03433594852685928,0.6628497242927551,1.2345467805862427,-0.5917116403579712,-0.00016133859753608704,0.013646417297422886,-0.012350260280072689,0.022569719702005386,-0.17518360912799835,0.047457121312618256,0.0034352196380496025,0.030085448175668716,-0.0172865092754364,0.06705547124147415,-0.005602124147117138,0.0022413753904402256
3,7,3,1,4,0,0.17599806189537048,-0.38292405009269714,0.19472944736480713,0.3617018461227417,0.41494807600975037,-0.16926142573356628,0.8385840058326721,-0.18653661012649536,-1.7206299304962158,-0.1883116215467453,-0.20791219174861908,0.26836419105529785,-0.536811888217926,0.41420242190361023,2.1897175312042236,0.23342376947402954,0.4937100410461426,-1.7030742168426514,0.9838748574256897,-1.007283091545105,-0.7912600636482239,1.3379236459732056,0.10795684903860092,0.1261100172996521,-0.012694749049842358,0.014143369160592556,-0.03922022134065628,0.031427815556526184,-0.20792005956172943,0.08391287922859192,-0.007321232929825783,0.05229465290904045,-0.05079708248376846,0.13204216957092285,-0.0230545736849308,-0.006306042429059744
4,7,2,1,0,0,0.38265159726142883,-0.5618113875389099,-0.6730070114135742,0.1585758924484253,0.7301715016365051,-0.07573764771223068,-1.1254847049713135,-0.12345488369464874,-0.8853832483291626,-0.4336966276168823,0.48377615213394165,-0.38892436027526855,-2.0093774795532227,0.30524179339408875,0.25908055901527405,1.3681340217590332,0.8972299695014954,-2.105926275253296,0.9943138957023621,0.3299202620983124,-0.0879925936460495,0.6167310476303101,1.2287955284118652,-0.5719234943389893,-0.010084213688969612,0.02550002560019493,-0.026981832459568977,0.04355446249246597,-0.29104891419410706,0.09268377721309662,-0.0016238298267126083,0.05744246393442154,-0.05191520228981972,0.1432032287120819,-0.021434666588902473,-0.0019095868337899446
5,7,2,1,4,0,-0.1298617124557495,-0.40191078186035156,0.2562450170516968,0.07738116383552551,0.33009907603263855,-0.08407443016767502,-0.4482138156890869,-0.7995692491531372,-1.0499093532562256,-0.6948230266571045,0.33044254779815674,-0.7029454112052917,-1.5403863191604614,0.3094334304332733,0.47278544306755066,1.100887417793274,1.1126055717468262,-2.221876621246338,0.9061781764030457,0.4483185410499573,0.016197681427001953,0.8630120754241943,1.2592253684997559,-0.6091458201408386,-0.007231403607875109,0.03509407490491867,-0.016608860343694687,0.052492640912532806,-0.3658705949783325,0.10235929489135742,0.0001933000748977065,0.0666104108095169,-0.05204237252473831,0.1513003259897232,-0.01949338987469673,0.0018812521593645215
6,7,2,1,4,0,0.9911078214645386,-0.11428280174732208,0.14227527379989624,-0.30639809370040894,0.5319793224334717,-0.017283834517002106,-0.8786211609840393,0.009983710944652557,-1.2589253187179565,-0.7934977412223816,0.2787052094936371,-0.7651810646057129,-1.341172456741333,0.39924156665802,0.9140951037406921,0.7596583962440491,1.2358899116516113,-2.162435531616211,0.7328468561172485,0.3798048496246338,0.04096173867583275,1.114946722984314,1.09993314743042,-0.6348713040351868,-0.00404982827603817,0.04422473534941673,-0.008779177442193031,0.05841032415628433,-0.4331297278404236,0.11156858503818512,0.00044144675484858453,0.07551831752061844,-0.05163220316171646,0.15917226672172546,-0.016858430579304695,0.005788856651633978
7,7,2,1,4,0,0.06566888093948364,-0.6728912591934204,1.0647251605987549,-0.5062340497970581,-0.6528394818305969,-0.11887551099061966,0.14640942215919495,-0.6820796728134155,-0.9417163729667664,-0.6040611863136292,0.34169209003448486,-0.7533238530158997,-1.4493969678878784,0.23635806143283844,0.3727358877658844,1.1930286884307861,1.0892690420150757,-2.309535503387451,0.9663695693016052,0.40578344464302063,-0.021456677466630936,0.8752850294113159,1.2407339811325073,-0.6417648792266846,-0.0024748085997998714,0.053133994340896606,0.00018975138664245605,0.06737478077411652,-0.4933202564716339,0.12015402317047119,0.0012096365680918097,0.08346245437860489,-0.05299641564488411,0.16499772667884827,-0.016201697289943695,0.008323402144014835
8,7,2,1,4,0,0.8407465219497681,0.1342063844203949,0.8641095757484436,0.19982996582984924,0.9239374995231628,0.34512147307395935,-0.03543165326118469,0.3824946880340576,-1.6213712692260742,-0.29618120193481445,-0.2804623544216156,0.20579296350479126,-0.49590322375297546,0.4536479413509369,2.1449062824249268,0.30205243825912476,0.41770926117897034,-1.6090354919433594,1.1207882165908813,-1.0215429067611694,-0.8726428747177124,1.4757347106933594,-0.008751400746405125,0.08525869250297546,-0.02725232020020485,0.05059722810983658,-0.02219294384121895,0.07058785110712051,-0.4286678731441498,0.14523310959339142,-0.026055583730340004,0.09929341077804565,-0.10291340202093124,0.22080092132091522,-0.04716624692082405,-0.009836068376898766
9,7,2,1,4,0,0.9052581787109375,-0.8327274322509766,-0.18600702285766602,0.30382949113845825,-0.5083374381065369,0.9616738557815552,-0.7837077379226685,-0.12464287877082825,-1.2332849502563477,-0.9070860147476196,0.30907267332077026,-0.7346317768096924,-1.4975872039794922,0.34775975346565247,0.8514138460159302,0.7963356375694275,1.2356032133102417,-2.057748317718506,0.6934399604797363,0.45400717854499817,0.05475825071334839,1.0787789821624756,1.1672718524932861,-0.5581037402153015,-0.02451215125620365,0.06031259149312973,-0.01476387120783329,0.07653573155403137,-0.4861350953578949,0.15206393599510193,-0.026569712907075882,0.10878676921129227,-0.1045643761754036,0.2285606861114502,-0.04504581168293953,-0.006173030007630587
10,7,2,1,4,0,0.6447399258613586,-0.12906388938426971,0.2933270037174225,0.25839853286743164,0.3689503073692322,0.06664761900901794,-0.7091574668884277,-0.41932040452957153,-1.5483925342559814,-0.7328565120697021,0.19364182651042938,-0.37078243494033813,-1.096842646598816,0.30739226937294006,1.429985523223877,0.2938283383846283,1.146005630493164,-2.197871685028076,0.607728123664856,0.1374378800392151,-0.04818297177553177,1.3636119365692139,0.9375284314155579,-0.4222314953804016,-0.022407103329896927,0.06936372816562653,-0.00996236689388752,0.07980793714523315,-0.5368099212646484,0.15986289083957672,-0.02861630916595459,0.11700902879238129,-0.10638898611068726,0.23845484852790833,-0.042951084673404694,-0.0026053939945995808
