t,x,y,zone_id,action,perturbed,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,s_0,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,g_0,g_1,g_2,g_3,g_4,g_5,g_6,g_7,g_8,g_9,g_10,g_11
1,7,4,1,4,0,-0.03889995813369751,-0.07618601620197296,-0.02955036610364914,0.14533820748329163,0.4535362422466278,0.1450953185558319,-0.009192109107971191,0.04670262336730957,-0.1941765397787094,0.08146830648183823,-1.0537834167480469,-0.1934983730316162,-1.5186227560043335,0.7922351360321045,1.3240821361541748,1.354252815246582,1.2580405473709106,-0.6661937832832336,1.0365350246429443,-1.236950159072876,-1.0944854021072388,1.159876823425293,-0.001760741462931037,-1.047019124031067,-0.09444840252399445,0.01088290847837925,0.01381597388535738,-0.006130148656666279,-0.09935759752988815,-0.004957312252372503,0.0670548602938652,-0.07363834232091904,0.06176994368433952,0.15957686305046082,-0.0208396315574646,-0.0009416170651093125
2,6,4,1,2,0,0.7854807376861572,-0.4970845580101013,0.2799665927886963,-0.2506648302078247,0.902285635471344,0.19075044989585876,-0.5502732992172241,-0.3061891496181488,0.29823222756385803,0.683205246925354,-0.592519998550415,-1.0029247999191284,-1.2037352323532104,0.46668699383735657,0.7547782063484192,1.6675457954406738,1.0328377485275269,-1.9158605337142944,0.8071380257606506,-0.5897629857063293,-0.9402451515197754,0.8688259124755859,0.7350686192512512,-1.0692702531814575,-0.20096640288829803,0.020563509315252304,0.034214384853839874,0.005063890479505062,-0.2080935835838318,0.0008409684523940086,0.125545471906662,-0.1288684606552124,0.09519258141517639,0.29073238372802734,-0.023599956184625626,0.004773544147610664
3,5,4,1,2,0,-0.42131808400154114,-0.3052142858505249,0.03614523634314537,-0.2283884435892105,0.3682425320148468,0.3603592813014984,-0.10710038989782333,-0.2572178244590759,0.6177201867103577,1.081268310546875,-0.5208519697189331,-0.32422828674316406,-1.5028705596923828,0.22581207752227783,0.5344873666763306,1.7837188243865967,0.6713743209838867,-1.842603325843811,1.0480214357376099,-0.7479900121688843,-1.2819076776504517,0.4637295603752136,0.5672759413719177,-0.7729556560516357,-0.28573936223983765,0.028013065457344055,0.04548029601573944,0.038342274725437164,-0.30070412158966064,0.006525901611894369,0.18063059449195862,-0.194947749376297,0.1207311600446701,0.4066828489303589,-0.03528178855776787,0.009658267721533775
4,4,4,0,2,0,0.9429659843444824,-0.22195973992347717,-0.13419118523597717,-0.0028707608580589294,0.03647005558013916,-0.44730344414711,-0.021937355399131775,0.1843675822019577,-1.0218137502670288,-1.2205926179885864,-0.9314171671867371,0.4781833589076996,-1.0776658058166504,0.38307496905326843,1.8385764360427856,0.6156566143035889,1.0570520162582397,1.2527012825012207,0.5236794948577881,-1.6644072532653809,-0.40871694684028625,1.0172338485717773,-0.35799723863601685,-0.4835469722747803,-0.26656264066696167,0.014847789891064167,0.024045804515480995,-0.012935459613800049,-0.29383406043052673,-0.01635117456316948,0.22744737565517426,-0.23740534484386444,0.21249781548976898,0.5351028442382812,-0.08807090669870377,-0.03324234485626221
5,4,4,0,4,0,-0.3944852948188782,-0.5383731126785278,-0.13754397630691528,0.6870585083961487,-0.10757684707641602,-0.0757087916135788,0.28338465094566345,0.2564868628978729,-1.05565345287323,-1.1888459920883179,-0.720969557762146,1.0921883583068848,-1.0166404247283936,0.0631868839263916,1.760006308555603,0.31182628870010376,0.8034114837646484,1.5972779989242554,0.7500608563423157,-1.583193302154541,-0.42232781648635864,0.6260883212089539,-0.797513484954834,-0.21890239417552948,-0.2518496513366699,-0.01228723581880331,0.008250627666711807,-0.0039252787828445435,-0.2913821339607239,-0.0233958400785923,0.2683223783969879,-0.30465635657310486,0.28000855445861816,0.6465320587158203,-0.14294761419296265,-0.06802970916032791
6,4,4,0,4,0,-0.2819640636444092,-0.008685767650604248,-0.29983726143836975,-0.2354011833667755,0.31689682602882385,0.5681042671203613,0.20895422995090485,0.18189290165901184,0.5159484148025513,0.7866690158843994,-0.4220300316810608,-0.7979674935340881,-1.3942302465438843,0.34071511030197144,0.7622758746147156,1.7197242975234985,0.9763017296791077,-1.8576620817184448,0.9455814957618713,-0.8349385261535645,-1.1004290580749512,0.5219448208808899,0.6924208998680115,-0.8543240427970886,-0.3283382058143616,-0.004353441763669252,0.024124251678586006,0.019614094868302345,-0.3695734739303589,-0.016837017610669136,0.3092716336250305,-0.35124310851097107,0.3054553270339966,0.7259469032287598,-0.1488054096698761,-0.06291715800762177
7,3,4,0,2,0,-0.45021772384643555,0.24398015439510345,-0.17713680863380432,-0.23388975858688354,0.22812047600746155,-0.0006574317812919617,0.04405587911605835,-0.188963383436203,0.08181335777044296,0.414846807718277,-0.477328896522522,-0.04502498358488083,-1.639714241027832,0.12503735721111298,1.195432424545288,1.580496072769165,1.1083539724349976,-1.0881837606430054,1.3574742078781128,-1.381046175956726,-1.3378360271453857,0.5854573845863342,0.27530425786972046,-0.7550816535949707,-0.37774649262428284,0.0022131376899778843,0.0321224182844162,0.04697762802243233,-0.43643826246261597,-0.011606382206082344,0.34539762139320374,-0.40423783659935,0.33544063568115234,0.796972393989563,-0.1652880311012268,-0.060558922588825226
8,4,4,0,3,0,0.3460078537464142,-0.19208429753780365,-0.7588772773742676,0.10802118480205536,0.37328365445137024,-0.30488723516464233,0.31053435802459717,0.5352624654769897,-0.45950010418891907,-1.002177119255066,-0.8652888536453247,-0.1754753738641739,-1.210969090461731,0.913940966129303,1.6401011943817139,0.814649224281311,1.4428783655166626,0.6806591749191284,0.3528439998626709,-1.7817906141281128,-0.4683566689491272,1.2496875524520874,-0.37083232402801514,-0.7603708505630493,-0.3911587595939636,0.015184396877884865,0.03874189406633377,-0.03161262348294258,-0.41221916675567627,-0.038562703877687454,0.36823272705078125,-0.4256092607975006,0.4052439033985138,0.8804259896278381,-0.19008705019950867,-0.0918123871088028
9,5,4,1,3,0,-0.10174991190433502,0.6036215424537659,0.06564698368310928,0.645193338394165,0.34117212891578674,0.18042421340942383,0.49774011969566345,0.430794894695282,-1.0720150470733643,-1.3864727020263672,-0.7355988621711731,0.5939794778823853,-1.0088412761688232,0.35267773270606995,1.6675734519958496,0.4922829866409302,1.0879936218261719,1.512813687324524,0.45961740612983704,-1.724757194519043,-0.3027576506137848,0.8815136551856995,-0.4396928548812866,-0.378316730260849,-0.375034362077713,-0.003338863141834736,0.01557084359228611,-0.06342053413391113,-0.39419955015182495,-0.049633242189884186,0.3989418148994446,-0.441563218832016,0.4716588258743286,0.9582523107528687,-0.2235766053199768,-0.13093766570091248
10,6,4,1,3,0,0.6907356977462769,-0.6103545427322388,-0.09291350096464157,0.17471587657928467,-0.23868989944458008,0.6622994542121887,-0.5835815668106079,-0.11709855496883392,0.6738035678863525,1.1441025733947754,-0.2298828363418579,0.12460040301084518,-1.6372077465057373,0.014308666810393333,0.6433701515197754,1.734193205833435,0.5274350047111511,-1.674787998199463,1.277599573135376,-1.0632026195526123,-1.3595032691955566,0.007498288061469793,0.32042452692985535,-0.5027520656585693,-0.42422977089881897,0.0026581583078950644,0.023093225434422493,-0.020724579691886902,-0.454811692237854,-0.042232878506183624,0.42786040902137756,-0.48477229475975037,0.48402899503707886,1.0036872625350952,-0.23145438730716705,-0.12491347640752792
